timestamp,tic,open,high,low,close,volume,EMA_8,EMA_21,EMA_50,EMA_100,EMA_200,price_change_pct,diff_close_to_ema8,diff_close_to_ema21,diff_close_to_ema50,diff_close_to_ema100,diff_close_to_ema200,diff_ema8_21,diff_ema21_50,diff_ema50_100,diff_ema100_200,VWAP_28,RSI_35,MACD_line,MACD_signal,MACD_histogram,ATR_14,MFI_14,VROC_14,AD_Line,CMF_14,Pattern_Doji,Pattern_Hammer,Pattern_Shooting Star,Pattern_Bullish Engulfing,Pattern_Bearish Engulfing
2019-09-23 00:00:00,BTCUSDT,9930.13,9930.13,9930.13,9930.13,0.001,9930.13,9930.13,9930.13,9930.13,9930.13,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,True,False,False,False,False
2019-09-23 12:00:00,BTCUSDT,9930.13,9930.13,9930.13,9930.13,0.0,9930.13,9930.13,9930.13,9930.13,9930.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,True,False,False,False,False
2019-09-24 00:00:00,BTCUSDT,9930.13,9930.13,9930.13,9930.13,0.0,9930.13,9930.13,9930.13,9930.13,9930.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,True,False,False,False,False
2019-09-24 12:00:00,BTCUSDT,9637.93,9665.05,7996.45,8519.67,202.350799,9616.694444444443,9801.906363636364,9874.817843137254,9902.2000990099,9916.095572139302,-14.203842245771192,-11.407500267185815,-13.081499823271844,-13.723269276091482,-13.961847722589818,-14.082413405360478,-1.889549974472601,-0.7383577161533508,-0.2765269899502833,-0.140130488137316,,,-44.75282919090205,-5.594103648862756,-39.15872554203929,,,,-75.44922276509638,,False,False,False,False,False
2019-09-25 00:00:00,BTCUSDT,8528.12,8724.77,8257.35,8329.21,37.656552,9330.586790123456,9668.024876033056,9814.205770857365,9871.051780217624,9900.305665948865,-2.2355325969198425,-10.73219522681496,-13.847863376437584,-15.131084527155124,-15.61983276501092,-15.86916322545974,-3.49024842443368,-1.4894826768191625,-0.5758860415886631,-0.2954846720728366,,,-91.194224975603,-16.294118814705286,-74.9001061608977,,,,-101.52732357892567,,False,False,False,False,False
2019-09-25 12:00:00,BTCUSDT,8307.28,8617.59,8247.78,8435.28,17.761419,9131.629725651575,9555.95716003005,9760.130250431584,9842.62065585688,9885.728296138426,1.273470113011932,-7.625689461493024,-11.727523902236968,-13.57410420186758,-14.298434381085674,-14.672144051389733,-4.44044931629997,-2.091909484430341,-0.8380939214213463,-0.4360593270440573,,,-129.65654717958205,-30.46442236031488,-99.19212481926716,,,,-101.2780556721357,,False,False,False,False,False
2019-09-26 00:00:00,BTCUSDT,8434.45,8453.2,8325.53,8399.6,9.28488,8968.95645328456,9450.8337818455,9706.776122963678,9814.045989404269,9870.940949908192,-0.4229853662237715,-6.348079135516964,-11.123185595167897,-13.466635125860613,-14.412465469709176,-14.90578210704296,-5.098781120101791,-2.636738891223479,-1.0930238818567244,-0.5763884192261582,,,-165.31556732886384,-47.32081548138351,-117.99475184748032,,,,-99.78936221556803,,False,False,False,False,False
2019-09-26 12:00:00,BTCUSDT,8388.7,8429.67,7761.87,8064.41,32.595199,8767.946130332435,9324.795256223182,9642.36960833765,9779.399732188343,9852.965517570798,-3.990547168912806,-8.023955894283771,-13.516492551212064,-16.364852960761915,-17.536758688199967,-18.152458915859047,-5.971703512944341,-3.2935301695950923,-1.4012120130406958,-0.7466359772726722,,,-207.86592227656547,-67.38895383078125,-140.47696844578422,,,,-102.85071423904812,,False,False,False,False,False
2019-09-27 00:00:00,BTCUSDT,8078.75,8120.92,7951.75,7988.61,16.051119,8594.760323591894,9203.3238692938,9577.516290363626,9743.938549372731,9834.41471640094,-0.9399323695099882,-7.052556450330124,-13.198643083143072,-16.589961762448763,-18.01456916500908,-18.768831390877537,-6.612432142395136,-3.906988093001912,-1.7079567791385566,-0.9199954408808698,,,-248.33138691242493,-90.00675796598671,-158.32462894643822,,,,-111.90716224135356,,False,False,False,False,False
2019-09-27 12:00:00,BTCUSDT,7982.71,8259.96,7858.58,8178.73,31.091785,8502.309140571473,9110.178972085272,9522.661926035642,9712.944320672284,9817.94024161088,2.379888366061178,-3.8057795267336574,-10.22426644898359,-14.11298580663917,-15.79556383749652,-16.696070675430462,-6.672424695238021,-4.3315929637553525,-1.9590598726243933,-1.069429211777018,,,-278.387380801536,-113.55433582043035,-164.83304498110562,,,,-93.39988915300832,,False,False,False,True,False
