timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore,symbol,timeframe
2020-08-11,2.85,3.5208,2.8433,3.2985,1552384.78,1597190399999,4939148.93810700,13490,741770.79000000,2370192.68111900,0,SOLUSDT,1d
2020-08-12,3.2985,3.9289,3.08,3.7558,1737042.95,1597276799999,6176153.72463800,21118,889133.50000000,3161944.26881700,0,SOLUSDT,1d
2020-08-13,3.75,4.1387,3.5003,3.73,1685759.24,1597363199999,6446567.98049000,22922,716358.46000000,2755764.74800600,0,SOLUSDT,1d
2020-08-14,3.7207,3.7676,3.321,3.4099,1474161.79,1597449599999,5205834.09597700,18581,578651.84000000,2048896.65546700,0,SOLUSDT,1d
2020-08-15,3.4181,3.74,3.15,3.173,1070233.2,1597535999999,3658005.62220200,13903,439623.97000000,1510472.72956800,0,SOLUSDT,1d
2020-08-16,3.173,3.4907,3.12,3.3885,668106.53,1597622399999,2227715.62781000,10659,267439.48000000,896424.21850500,0,SOLUSDT,1d
2020-08-17,3.3885,3.3952,3.1,3.11,729413.64,1597708799999,2355329.78763000,8632,258191.89000000,833604.42981700,0,SOLUSDT,1d
2020-08-18,3.11,3.7092,2.8105,3.3407,2713115.94,1597795199999,8885306.13322400,27415,1276599.28000000,4211377.73393200,0,SOLUSDT,1d
2020-08-19,3.334,3.49,2.8,2.8868,1433243.76,1597881599999,4380403.48882400,17076,487245.28000000,1491949.57596300,0,SOLUSDT,1d
2020-08-20,2.8962,3.445,2.8871,3.2038,1277827.32,1597967999999,4078240.33148200,14169,654313.24000000,2100682.28532600,0,SOLUSDT,1d
2020-08-21,3.2038,3.24,2.89,2.9317,1131895.9,1598054399999,3480342.67494000,12957,435955.04000000,1340925.25472600,0,SOLUSDT,1d
2020-08-22,2.9213,3.2,2.7431,3.0126,1169417.78,1598140799999,3433997.19373600,10427,535610.79000000,1579335.77989600,0,SOLUSDT,1d
2020-08-23,3.0224,3.4,3.0014,3.25,1198036.69,1598227199999,3846250.69637000,11455,701976.44000000,2259165.67539900,0,SOLUSDT,1d
2020-08-24,3.2658,3.62,3.21,3.3405,1315196.06,1598313599999,4504839.41721800,15317,634212.19000000,2181573.74310800,0,SOLUSDT,1d
2020-08-25,3.3406,3.3654,3.0001,3.25,1149187.37,1598399999999,3629890.75795400,14226,477028.87000000,1506233.26004600,0,SOLUSDT,1d
2020-08-26,3.2576,3.7999,3.1809,3.5684,2290030.56,1598486399999,8065581.23932100,23980,1256407.83000000,4427331.46824800,0,SOLUSDT,1d
2020-08-27,3.5557,3.8575,3.2434,3.4501,2412974.8,1598572799999,8578461.96452700,25784,1158014.83000000,4141258.62126200,0,SOLUSDT,1d
2020-08-28,3.4503,4.3091,3.4503,4.0063,2581936.84,1598659199999,10089370.36535600,30430,1416811.61000000,5532658.68714100,0,SOLUSDT,1d
2020-08-29,4.007,4.1121,3.7748,3.9535,1342844.2,1598745599999,5290923.08962500,19319,589471.19000000,2328966.08074700,0,SOLUSDT,1d
2020-08-30,3.9531,4.7117,3.9,4.4309,1815681.99,1598831999999,7967065.16831300,26712,864714.97000000,3787277.37847900,0,SOLUSDT,1d
2020-08-31,4.4127,4.8865,4.1,4.7435,1497129.12,1598918399999,6664671.74724200,23396,829785.03000000,3715511.86280800,0,SOLUSDT,1d
2020-09-01,4.7432,4.9475,4.3,4.3397,1267574.76,1599004799999,5871722.63744100,20174,626210.98000000,2914616.45919400,0,SOLUSDT,1d
2020-09-02,4.3213,4.3506,3.66,4.17,2002058.36,1599091199999,8136932.35262900,25545,872236.99000000,3553812.07120700,0,SOLUSDT,1d
2020-09-03,4.17,4.459,3.4772,3.5051,3275612.26,1599177599999,12941589.82447800,37166,1415415.57000000,5628686.60808800,0,SOLUSDT,1d
2020-09-04,3.5062,3.8346,3.1739,3.5301,2052197.24,1599263999999,7262296.37115600,23918,892868.07000000,3167604.52048200,0,SOLUSDT,1d
2020-09-05,3.5301,3.6637,2.0926,2.6052,4426267.38,1599350399999,11872722.47996600,36221,1667142.80000000,4417379.50831400,0,SOLUSDT,1d
2020-09-06,2.6119,3.18,2.2575,3.0941,2898758.91,1599436799999,7940868.46326200,24763,1441533.05000000,3961686.65227000,0,SOLUSDT,1d
2020-09-07,3.0785,3.1983,2.38,2.9237,2680083.17,1599523199999,7269853.90869400,20763,1237117.42000000,3357706.94438000,0,SOLUSDT,1d
2020-09-08,2.9237,2.9499,2.4,2.468,1626389.7,1599609599999,4163484.17494300,17527,594993.20000000,1526237.01692200,0,SOLUSDT,1d
2020-09-09,2.468,3.8838,2.3821,3.6001,6691121.99,1599695999999,22147440.58973700,54509,3343480.12000000,11062516.96911100,0,SOLUSDT,1d
2020-09-10,3.6107,3.875,3.304,3.4761,4356890.66,1599782399999,15482088.38192500,47297,2075976.54000000,7395169.70058900,0,SOLUSDT,1d
2020-09-11,3.4707,3.5036,3.0316,3.3965,2227636.94,1599868799999,7208721.22424400,23696,905328.95000000,2940779.29798300,0,SOLUSDT,1d
2020-09-12,3.3967,3.47,3.1494,3.3316,1161542.47,1599955199999,3845112.02572700,14476,555663.30000000,1842564.18066800,0,SOLUSDT,1d
2020-09-13,3.3386,3.47,2.9838,3.2603,2024779.41,1600041599999,6528375.66092300,27152,871294.02000000,2819238.84931700,0,SOLUSDT,1d
2020-09-14,3.2656,3.5393,3.0752,3.2641,3351649.61,1600127999999,11170955.41711900,53540,1671479.97000000,5589901.33057100,0,SOLUSDT,1d
2020-09-15,3.264,3.3249,2.8955,2.9295,1698391.09,1600214399999,5332430.83456700,28139,671971.67000000,2114488.25667600,0,SOLUSDT,1d
2020-09-16,2.9288,2.9293,2.4282,2.5327,4886766.99,1600300799999,12739762.36306600,52638,1895992.58000000,4948031.68085500,0,SOLUSDT,1d
2020-09-17,2.5376,2.9389,2.36,2.8829,4635747.31,1600387199999,12078123.51430100,50561,2337316.53000000,6112225.62423800,0,SOLUSDT,1d
2020-09-18,2.883,3.16,2.726,3.1144,4169446.23,1600473599999,12294993.32324400,49597,2127089.20000000,6283795.83696700,0,SOLUSDT,1d
2020-09-19,3.1084,3.2545,2.9564,3.031,1586219.86,1600559999999,4884899.26567600,23707,799968.39000000,2467075.79740500,0,SOLUSDT,1d
2020-09-20,3.0216,3.0319,2.7,2.8628,1456628.58,1600646399999,4183733.72040400,19133,620427.02000000,1786109.98779300,0,SOLUSDT,1d
2020-09-21,2.8628,3.0397,2.4689,2.7672,3567879.31,1600732799999,9634412.01778900,45379,1721714.67000000,4642466.95558300,0,SOLUSDT,1d
